time_s,p1_pct,p2_pct
0.026,39.1,97.7
0.044,39.1,97.7
0.061,39.1,97.7
0.063,39.1,97.7
0.079,39.1,97.7
0.097,39.1,97.7
0.115,39.1,97.7
0.117,39.1,97.7
0.150,39.1,97.7
0.151,39.1,97.7
0.180,39.1,97.7
0.208,39.1,97.7
0.224,39.1,97.7
0.244,39.1,97.7
0.261,39.1,97.7
0.266,39.1,97.7
0.268,39.1,97.7
0.279,39.1,97.7
0.310,39.1,97.7
0.333,39.1,97.7
0.346,39.1,97.7
0.351,39.1,97.7
0.361,39.1,97.7
0.389,39.1,97.7
0.396,39.1,97.7
0.445,39.1,97.7
0.474,39.1,97.7
0.502,39.1,97.7
0.535,39.1,97.7
0.557,39.1,97.7
0.566,39.1,97.7
0.572,39.1,97.7
0.585,39.1,97.7
0.601,39.1,97.7
0.636,39.1,97.7
0.651,39.1,97.7
0.655,39.1,97.7
0.686,39.1,97.7
0.701,39.1,73.2
0.726,39.1,73.2
0.729,39.1,73.2
0.743,39.1,49.1
0.747,39.1,49.1
0.769,39.1,49.1
0.780,39.1,49.1
0.811,39.1,49.1
0.813,39.1,49.1
0.844,39.1,44.5
0.847,39.1,44.5
0.879,39.1,44.5
0.881,39.1,44.5
0.904,39.1,39.5
0.918,39.1,39.1
0.929,39.1,39.1
0.953,39.1,39.1
0.962,39.1,39.1
0.991,39.1,38.6
0.997,39.1,38.6
1.037,39.1,40.9
